NAME,total_population,median_income,state,county,tract,GEOID
Census Tract 57.10; Mecklenburg County; North Carolina,4924,62357,37,119,005710,37119005710
Census Tract 57.12; Mecklenburg County; North Carolina,3426,108750,37,119,005712,37119005712
Census Tract 57.13; Mecklenburg County; North Carolina,4398,114088,37,119,005713,37119005713
Census Tract 57.14; Mecklenburg County; North Carolina,6095,111611,37,119,005714,37119005714
Census Tract 57.15; Mecklenburg County; North Carolina,2932,92222,37,119,005715,37119005715
Census Tract 57.16; Mecklenburg County; North Carolina,5535,73496,37,119,005716,37119005716
Census Tract 57.18; Mecklenburg County; North Carolina,3672,74038,37,119,005718,37119005718
Census Tract 57.19; Mecklenburg County; North Carolina,3347,65273,37,119,005719,37119005719
Census Tract 57.20; Mecklenburg County; North Carolina,2147,97679,37,119,005720,37119005720
Census Tract 57.21; Mecklenburg County; North Carolina,3594,91413,37,119,005721,37119005721
Census Tract 57.22; Mecklenburg County; North Carolina,2128,93947,37,119,005722,37119005722
Census Tract 57.23; Mecklenburg County; North Carolina,3263,61181,37,119,005723,37119005723
Census Tract 58.11; Mecklenburg County; North Carolina,4227,74224,37,119,005811,37119005811
Census Tract 58.15; Mecklenburg County; North Carolina,3478,90263,37,119,005815,37119005815
Census Tract 58.16; Mecklenburg County; North Carolina,4185,115357,37,119,005816,37119005816
Census Tract 58.17; Mecklenburg County; North Carolina,4307,117301,37,119,005817,37119005817
Census Tract 58.24; Mecklenburg County; North Carolina,4805,90893,37,119,005824,37119005824
Census Tract 58.26; Mecklenburg County; North Carolina,3054,74344,37,119,005826,37119005826
Census Tract 58.27; Mecklenburg County; North Carolina,2400,63192,37,119,005827,37119005827
Census Tract 58.28; Mecklenburg County; North Carolina,3667,102521,37,119,005828,37119005828
Census Tract 58.29; Mecklenburg County; North Carolina,2016,42724,37,119,005829,37119005829
Census Tract 58.30; Mecklenburg County; North Carolina,3630,88162,37,119,005830,37119005830
Census Tract 58.32; Mecklenburg County; North Carolina,2978,158611,37,119,005832,37119005832
Census Tract 58.33; Mecklenburg County; North Carolina,5537,126471,37,119,005833,37119005833
Census Tract 58.34; Mecklenburg County; North Carolina,4441,104479,37,119,005834,37119005834
Census Tract 58.35; Mecklenburg County; North Carolina,2456,119554,37,119,005835,37119005835
Census Tract 58.36; Mecklenburg County; North Carolina,3929,88125,37,119,005836,37119005836
Census Tract 58.39; Mecklenburg County; North Carolina,2465,94712,37,119,005839,37119005839
Census Tract 58.40; Mecklenburg County; North Carolina,2085,129444,37,119,005840,37119005840
Census Tract 58.43; Mecklenburg County; North Carolina,3174,143603,37,119,005843,37119005843
Census Tract 58.45; Mecklenburg County; North Carolina,6497,132197,37,119,005845,37119005845
Census Tract 58.46; Mecklenburg County; North Carolina,3773,232042,37,119,005846,37119005846
Census Tract 58.47; Mecklenburg County; North Carolina,5487,164310,37,119,005847,37119005847
Census Tract 58.48; Mecklenburg County; North Carolina,5016,169177,37,119,005848,37119005848
Census Tract 58.49; Mecklenburg County; North Carolina,3666,106848,37,119,005849,37119005849
Census Tract 58.50; Mecklenburg County; North Carolina,2712,120111,37,119,005850,37119005850
Census Tract 58.51; Mecklenburg County; North Carolina,4668,113202,37,119,005851,37119005851
Census Tract 58.52; Mecklenburg County; North Carolina,2058,59535,37,119,005852,37119005852
Census Tract 58.53; Mecklenburg County; North Carolina,2241,59603,37,119,005853,37119005853
Census Tract 58.54; Mecklenburg County; North Carolina,2718,121952,37,119,005854,37119005854
Census Tract 58.55; Mecklenburg County; North Carolina,4611,103040,37,119,005855,37119005855
Census Tract 58.56; Mecklenburg County; North Carolina,2600,117140,37,119,005856,37119005856
Census Tract 58.57; Mecklenburg County; North Carolina,2109,135927,37,119,005857,37119005857
Census Tract 58.58; Mecklenburg County; North Carolina,4081,101809,37,119,005858,37119005858
Census Tract 58.59; Mecklenburg County; North Carolina,2635,127614,37,119,005859,37119005859
Census Tract 58.60; Mecklenburg County; North Carolina,4522,108958,37,119,005860,37119005860
Census Tract 58.61; Mecklenburg County; North Carolina,2698,82292,37,119,005861,37119005861
Census Tract 58.62; Mecklenburg County; North Carolina,3142,107826,37,119,005862,37119005862
Census Tract 58.63; Mecklenburg County; North Carolina,3846,153152,37,119,005863,37119005863
Census Tract 58.64; Mecklenburg County; North Carolina,4922,153977,37,119,005864,37119005864
Census Tract 58.65; Mecklenburg County; North Carolina,2098,145117,37,119,005865,37119005865
Census Tract 58.66; Mecklenburg County; North Carolina,4224,55048,37,119,005866,37119005866
Census Tract 58.67; Mecklenburg County; North Carolina,3728,58125,37,119,005867,37119005867
Census Tract 58.68; Mecklenburg County; North Carolina,2733,45410,37,119,005868,37119005868
Census Tract 59.08; Mecklenburg County; North Carolina,2291,167969,37,119,005908,37119005908
Census Tract 59.10; Mecklenburg County; North Carolina,5967,75661,37,119,005910,37119005910
Census Tract 59.13; Mecklenburg County; North Carolina,6822,82500,37,119,005913,37119005913
Census Tract 59.15; Mecklenburg County; North Carolina,2828,78922,37,119,005915,37119005915
Census Tract 59.16; Mecklenburg County; North Carolina,2567,42359,37,119,005916,37119005916
Census Tract 59.18; Mecklenburg County; North Carolina,5465,117569,37,119,005918,37119005918
Census Tract 59.19; Mecklenburg County; North Carolina,3238,85761,37,119,005919,37119005919
Census Tract 59.20; Mecklenburg County; North Carolina,2302,-666666666,37,119,005920,37119005920
Census Tract 59.21; Mecklenburg County; North Carolina,4010,131600,37,119,005921,37119005921
